Source,Target,Weight
cnwa,socbizcg,1
annoux,socbizcg,1
sport-schema,socbizcg,2
native-web-apps,socbizcg,1
native-web-apps,annoux,1
native-web-apps,mobindic,1
webscreens,socbizcg,1
webscreens,native-web-apps,2
propertygraphs,socbizcg,2
propertygraphs,sport-schema,1
autowebplatform,socbizcg,2
autowebplatform,mobindic,1
autowebplatform,webscreens,6
webmidi,annoux,1
webmidi,cdl,1
webmidi,native-web-apps,1
ldql,propertygraphs,1
informationarchitecture,socbizcg,1
informationarchitecture,native-web-apps,2
scriptlib,annoux,1
scriptlib,mobindic,1
scriptlib,native-web-apps,4
scriptlib,webscreens,1
scriptlib,webmidi,1
bde-transport,socbizcg,1
bde-transport,sport-schema,1
activitypub,socbizcg,3
activitypub,sport-schema,1
activitypub,native-web-apps,1
activitypub,bde-transport,1
mws,socbizcg,2
mws,cnwa,1
mws,cdl,1
mws,sport-schema,1
mws,informationarchitecture,3
mws,bde-transport,1
mws,activitypub,1
svgopentype,socbizcg,1
svgopentype,annoux,1
svgopentype,cdl,1
svgopentype,native-web-apps,2
svgopentype,webmidi,2
svgopentype,informationarchitecture,1
svgopentype,scriptlib,2
mmarkup,sport-schema,1
speech-api,socbizcg,1
speech-api,annoux,1
speech-api,native-web-apps,2
speech-api,webscreens,1
speech-api,autowebplatform,4
speech-api,webmidi,1
speech-api,informationarchitecture,2
speech-api,scriptlib,2
speech-api,mws,1
speech-api,svgopentype,2
webobservatory,cdl,1
webobservatory,webscreens,1
webobservatory,propertygraphs,1
webobservatory,autowebplatform,1
webobservatory,webmidi,2
webobservatory,informationarchitecture,1
webobservatory,mws,1
webobservatory,svgopentype,1
vxmlcg,socbizcg,1
vxmlcg,cdl,1
vxmlcg,native-web-apps,1
vxmlcg,webmidi,2
vxmlcg,informationarchitecture,2
vxmlcg,mws,1
vxmlcg,svgopentype,2
vxmlcg,speech-api,4
vxmlcg,webobservatory,2
webed,socbizcg,2
webed,cnwa,3
webed,annoux,1
webed,cdl,1
webed,mobindic,3
webed,sport-schema,1
webed,native-web-apps,6
webed,autowebplatform,3
webed,webmidi,1
webed,informationarchitecture,1
webed,scriptlib,4
webed,bde-transport,1
webed,activitypub,1
webed,mws,4
webed,svgopentype,1
webed,speech-api,2
webed,webobservatory,2
webed,vxmlcg,1
whatwg,socbizcg,3
whatwg,annoux,1
whatwg,native-web-apps,5
whatwg,webscreens,4
whatwg,webmidi,2
whatwg,informationarchitecture,2
whatwg,scriptlib,5
whatwg,activitypub,1
whatwg,mws,1
whatwg,svgopentype,3
whatwg,speech-api,2
whatwg,webobservatory,1
whatwg,vxmlcg,1
whatwg,webed,7
bde-societies,socbizcg,1
bde-societies,sport-schema,1
bde-societies,bde-transport,8
bde-societies,activitypub,1
bde-societies,mws,1
bde-societies,webed,1
owled,socbizcg,1
owled,sport-schema,1
owled,native-web-apps,1
owled,informationarchitecture,2
owled,activitypub,1
owled,svgopentype,1
owled,speech-api,1
owled,vxmlcg,1
owled,whatwg,1
timed-text,cdl,1
timed-text,webscreens,1
timed-text,webmidi,1
timed-text,mws,1
timed-text,svgopentype,1
timed-text,webobservatory,1
timed-text,vxmlcg,1
infographics,socbizcg,1
infographics,cnwa,1
infographics,annoux,1
infographics,cdl,1
infographics,native-web-apps,1
infographics,webmidi,2
infographics,informationarchitecture,1
infographics,scriptlib,2
infographics,activitypub,1
infographics,mws,2
infographics,svgopentype,2
infographics,speech-api,2
infographics,webobservatory,2
infographics,vxmlcg,1
infographics,webed,6
infographics,whatwg,2
infographics,timed-text,1
bde-climate,socbizcg,1
bde-climate,sport-schema,1
bde-climate,bde-transport,8
bde-climate,activitypub,1
bde-climate,mws,1
bde-climate,webed,1
bde-climate,bde-societies,9
pubsub,socbizcg,6
pubsub,sport-schema,1
pubsub,native-web-apps,4
pubsub,propertygraphs,1
pubsub,informationarchitecture,1
pubsub,bde-transport,1
pubsub,activitypub,10
pubsub,mws,1
pubsub,svgopentype,1
pubsub,speech-api,2
pubsub,vxmlcg,1
pubsub,webed,2
pubsub,whatwg,3
pubsub,bde-societies,1
pubsub,owled,2
pubsub,bde-climate,1
webhistory,socbizcg,1
webhistory,sport-schema,1
webhistory,native-web-apps,2
webhistory,propertygraphs,1
webhistory,informationarchitecture,5
webhistory,scriptlib,2
webhistory,mws,2
webhistory,svgopentype,1
webhistory,speech-api,1
webhistory,webobservatory,2
webhistory,vxmlcg,1
webhistory,webed,7
webhistory,whatwg,7
webhistory,owled,1
webhistory,infographics,4
webhistory,pubsub,2
webassembly,annoux,1
webassembly,cdl,1
webassembly,native-web-apps,3
webassembly,webscreens,2
webassembly,autowebplatform,2
webassembly,webmidi,4
webassembly,scriptlib,2
webassembly,svgopentype,3
webassembly,speech-api,1
webassembly,webobservatory,1
webassembly,vxmlcg,1
webassembly,webed,2
webassembly,whatwg,3
webassembly,timed-text,2
webassembly,infographics,2
webassembly,webhistory,2
expath,cdl,1
expath,webmidi,1
expath,svgopentype,1
expath,webobservatory,1
expath,vxmlcg,2
expath,webed,1
expath,whatwg,2
expath,owled,1
expath,timed-text,1
expath,infographics,1
expath,webhistory,1
expath,webassembly,1
web-nfc,socbizcg,1
web-nfc,native-web-apps,1
web-nfc,webscreens,2
web-nfc,autowebplatform,2
web-nfc,speech-api,1
web-nfc,pubsub,1
web-nfc,webassembly,2
emergency,socbizcg,2
emergency,sport-schema,2
emergency,native-web-apps,1
emergency,autowebplatform,2
emergency,informationarchitecture,4
emergency,bde-transport,1
emergency,activitypub,2
emergency,mws,3
emergency,svgopentype,1
emergency,speech-api,2
emergency,webobservatory,2
emergency,vxmlcg,2
emergency,webed,2
emergency,whatwg,1
emergency,bde-societies,1
emergency,owled,1
emergency,infographics,2
emergency,bde-climate,1
emergency,pubsub,2
emergency,webhistory,2
bde-energy,socbizcg,1
bde-energy,sport-schema,1
bde-energy,bde-transport,8
bde-energy,activitypub,1
bde-energy,mws,1
bde-energy,webed,1
bde-energy,bde-societies,9
bde-energy,bde-climate,9
bde-energy,pubsub,1
bde-energy,emergency,1
respimg,socbizcg,2
respimg,cnwa,2
respimg,annoux,2
respimg,native-web-apps,9
respimg,webscreens,4
respimg,autowebplatform,3
respimg,webmidi,2
respimg,informationarchitecture,4
respimg,scriptlib,7
respimg,mws,1
respimg,svgopentype,4
respimg,speech-api,3
respimg,webobservatory,1
respimg,vxmlcg,1
respimg,webed,14
respimg,whatwg,12
respimg,owled,2
respimg,timed-text,1
respimg,infographics,8
respimg,pubsub,1
respimg,webhistory,7
respimg,webassembly,8
respimg,emergency,2
xdmdl,propertygraphs,1
xdmdl,ldql,1
xdmdl,web-nfc,1
xdmdl,respimg,1
rww,socbizcg,4
rww,cdl,1
rww,mobindic,1
rww,sport-schema,1
rww,native-web-apps,5
rww,propertygraphs,1
rww,webmidi,1
rww,ldql,1
rww,informationarchitecture,1
rww,bde-transport,1
rww,activitypub,6
rww,mws,1
rww,svgopentype,2
rww,mmarkup,2
rww,speech-api,1
rww,webobservatory,1
rww,vxmlcg,2
rww,webed,3
rww,whatwg,3
rww,bde-societies,1
rww,owled,2
rww,timed-text,1
rww,infographics,1
rww,bde-climate,1
rww,pubsub,15
rww,webhistory,2
rww,webassembly,1
rww,expath,1
rww,web-nfc,1
rww,emergency,3
rww,bde-energy,1
rww,respimg,2
credentials,socbizcg,4
credentials,sport-schema,2
credentials,propertygraphs,1
credentials,bde-transport,1
credentials,activitypub,1
credentials,mws,1
credentials,webed,1
credentials,bde-societies,1
credentials,bde-climate,1
credentials,pubsub,3
credentials,web-nfc,2
credentials,emergency,1
credentials,bde-energy,1
credentials,rww,6
bgsync,native-web-apps,1
bgsync,web-nfc,1
ppl,socbizcg,1
ppl,cnwa,1
ppl,annoux,1
ppl,cdl,1
ppl,native-web-apps,2
ppl,webmidi,2
ppl,informationarchitecture,1
ppl,scriptlib,1
ppl,svgopentype,3
ppl,speech-api,2
ppl,webobservatory,1
ppl,vxmlcg,2
ppl,webed,3
ppl,whatwg,3
ppl,owled,1
ppl,timed-text,1
ppl,infographics,3
ppl,pubsub,1
ppl,webhistory,2
ppl,webassembly,2
ppl,expath,4
ppl,web-nfc,1
ppl,emergency,1
ppl,respimg,2
ppl,rww,2
opendataspain,informationarchitecture,2
opendataspain,activitypub,1
opendataspain,mws,1
opendataspain,webobservatory,2
opendataspain,infographics,2
opendataspain,webhistory,1
opendataspain,emergency,4
opendataspain,rww,1
websignage,native-web-apps,3
websignage,webscreens,7
websignage,autowebplatform,11
websignage,scriptlib,1
websignage,speech-api,1
websignage,webobservatory,1
websignage,webed,3
websignage,whatwg,2
websignage,pubsub,1
websignage,webhistory,1
websignage,webassembly,1
websignage,web-nfc,1
websignage,emergency,1
websignage,respimg,3
websignage,rww,1
restonto,socbizcg,1
restonto,sport-schema,2
restonto,bde-transport,1
restonto,activitypub,1
restonto,mws,1
restonto,webed,1
restonto,bde-societies,1
restonto,bde-climate,1
restonto,pubsub,1
restonto,emergency,2
restonto,bde-energy,1
restonto,rww,2
restonto,credentials,1
userix,socbizcg,2
userix,native-web-apps,5
userix,informationarchitecture,4
userix,mws,1
userix,svgopentype,1
userix,speech-api,2
userix,vxmlcg,1
userix,webed,4
userix,whatwg,3
userix,owled,1
userix,infographics,2
userix,pubsub,2
userix,webhistory,1
userix,emergency,1
userix,respimg,4
userix,rww,4
userix,ppl,1
userix,websignage,1
bde-food,socbizcg,1
bde-food,sport-schema,1
bde-food,bde-transport,9
bde-food,activitypub,1
bde-food,mws,1
bde-food,webed,1
bde-food,bde-societies,9
bde-food,bde-climate,9
bde-food,pubsub,1
bde-food,emergency,1
bde-food,bde-energy,9
bde-food,rww,1
bde-food,credentials,1
bde-food,restonto,1
schemaorg,socbizcg,6
schemaorg,annoux,3
schemaorg,sport-schema,7
schemaorg,native-web-apps,2
schemaorg,webscreens,1
schemaorg,propertygraphs,3
schemaorg,autowebplatform,1
schemaorg,webmidi,1
schemaorg,ldql,1
schemaorg,informationarchitecture,1
schemaorg,scriptlib,1
schemaorg,bde-transport,1
schemaorg,activitypub,1
schemaorg,mws,2
schemaorg,svgopentype,1
schemaorg,speech-api,1
schemaorg,webobservatory,4
schemaorg,webed,3
schemaorg,whatwg,3
schemaorg,bde-societies,1
schemaorg,owled,2
schemaorg,infographics,2
schemaorg,bde-climate,1
schemaorg,pubsub,3
schemaorg,webhistory,4
schemaorg,webassembly,3
schemaorg,expath,1
schemaorg,web-nfc,1
schemaorg,emergency,4
schemaorg,bde-energy,1
schemaorg,respimg,2
schemaorg,xdmdl,2
schemaorg,rww,4
schemaorg,credentials,7
schemaorg,ppl,1
schemaorg,opendataspain,3
schemaorg,websignage,1
schemaorg,restonto,4
schemaorg,bde-food,1
webzakim,socbizcg,1
webzakim,sport-schema,1
webzakim,webscreens,2
webzakim,autowebplatform,3
webzakim,bde-transport,1
webzakim,activitypub,1
webzakim,mws,1
webzakim,webed,1
webzakim,bde-societies,1
webzakim,bde-climate,1
webzakim,pubsub,1
webzakim,emergency,2
webzakim,bde-energy,1
webzakim,respimg,2
webzakim,rww,2
webzakim,credentials,1
webzakim,websignage,4
webzakim,restonto,2
webzakim,bde-food,1
webzakim,schemaorg,1
fedid,socbizcg,3
fedid,mobindic,1
fedid,sport-schema,1
fedid,native-web-apps,1
fedid,bde-transport,1
fedid,activitypub,4
fedid,mws,1
fedid,webed,2
fedid,bde-societies,1
fedid,bde-climate,1
fedid,pubsub,4
fedid,web-nfc,1
fedid,emergency,2
fedid,bde-energy,1
fedid,respimg,1
fedid,rww,6
fedid,credentials,3
fedid,opendataspain,1
fedid,restonto,1
fedid,bde-food,1
fedid,schemaorg,3
fedid,webzakim,2
webhaptics,socbizcg,1
webhaptics,native-web-apps,2
webhaptics,informationarchitecture,1
webhaptics,svgopentype,1
webhaptics,speech-api,1
webhaptics,vxmlcg,2
webhaptics,webed,1
webhaptics,whatwg,2
webhaptics,owled,1
webhaptics,infographics,1
webhaptics,pubsub,1
webhaptics,webhistory,1
webhaptics,emergency,1
webhaptics,respimg,1
webhaptics,rww,1
webhaptics,ppl,1
webhaptics,websignage,1
webhaptics,userix,1
webhaptics,schemaorg,1
ssn-cg,socbizcg,1
ssn-cg,sport-schema,1
ssn-cg,native-web-apps,1
ssn-cg,bde-transport,1
ssn-cg,activitypub,2
ssn-cg,mws,1
ssn-cg,webobservatory,2
ssn-cg,webed,1
ssn-cg,bde-societies,1
ssn-cg,owled,1
ssn-cg,bde-climate,1
ssn-cg,pubsub,4
ssn-cg,webassembly,1
ssn-cg,emergency,1
ssn-cg,bde-energy,1
ssn-cg,rww,4
ssn-cg,credentials,1
ssn-cg,opendataspain,2
ssn-cg,websignage,1
ssn-cg,restonto,1
ssn-cg,userix,1
ssn-cg,bde-food,1
ssn-cg,schemaorg,3
ssn-cg,webzakim,1
ssn-cg,fedid,1
texttracks,native-web-apps,1
texttracks,webscreens,6
texttracks,propertygraphs,1
texttracks,scriptlib,1
texttracks,whatwg,5
texttracks,timed-text,6
texttracks,webhistory,1
texttracks,webassembly,2
texttracks,respimg,3
texttracks,rww,2
texttracks,websignage,1
texttracks,schemaorg,2
browserobo,webscreens,1
browserobo,autowebplatform,3
browserobo,webassembly,1
browserobo,emergency,1
browserobo,respimg,1
browserobo,websignage,4
browserobo,webzakim,4
coders4africa,cnwa,1
coders4africa,cdl,1
coders4africa,sport-schema,1
coders4africa,webmidi,1
coders4africa,svgopentype,1
coders4africa,speech-api,1
coders4africa,webobservatory,1
coders4africa,vxmlcg,1
coders4africa,webed,2
coders4africa,timed-text,2
coders4africa,infographics,2
coders4africa,pubsub,1
coders4africa,webassembly,1
coders4africa,expath,1
coders4africa,rww,3
coders4africa,ppl,1
coders4africa,schemaorg,1
ontolex,socbizcg,1
ontolex,webmidi,1
ontolex,informationarchitecture,1
ontolex,scriptlib,1
ontolex,activitypub,2
ontolex,mws,3
ontolex,speech-api,2
ontolex,webobservatory,2
ontolex,vxmlcg,1
ontolex,webed,1
ontolex,owled,3
ontolex,pubsub,1
ontolex,webassembly,1
ontolex,emergency,2
ontolex,rww,1
ontolex,credentials,1
ontolex,opendataspain,1
ontolex,userix,1
ontolex,schemaorg,1
ontolex,ssn-cg,2
decisionml,socbizcg,2
decisionml,cnwa,1
decisionml,sport-schema,1
decisionml,native-web-apps,1
decisionml,informationarchitecture,2
decisionml,bde-transport,1
decisionml,activitypub,1
decisionml,mws,2
decisionml,vxmlcg,1
decisionml,webed,2
decisionml,bde-societies,1
decisionml,owled,1
decisionml,bde-climate,1
decisionml,pubsub,2
decisionml,emergency,4
decisionml,bde-energy,1
decisionml,respimg,1
decisionml,rww,3
decisionml,credentials,1
decisionml,opendataspain,1
decisionml,restonto,1
decisionml,bde-food,1
decisionml,schemaorg,1
decisionml,webzakim,1
decisionml,fedid,1
decisionml,ssn-cg,2
lom2ld,respimg,1
lom2ld,xdmdl,2
rdf-tests,socbizcg,3
rdf-tests,sport-schema,3
rdf-tests,propertygraphs,3
rdf-tests,ldql,1
rdf-tests,bde-transport,1
rdf-tests,activitypub,1
rdf-tests,mws,1
rdf-tests,webed,1
rdf-tests,bde-societies,1
rdf-tests,bde-climate,1
rdf-tests,pubsub,2
rdf-tests,webhistory,1
rdf-tests,web-nfc,1
rdf-tests,emergency,1
rdf-tests,bde-energy,1
rdf-tests,xdmdl,1
rdf-tests,rww,4
rdf-tests,credentials,4
rdf-tests,restonto,1
rdf-tests,bde-food,1
rdf-tests,schemaorg,5
rdf-tests,webzakim,1
rdf-tests,fedid,2
rdf-tests,ssn-cg,1
rdf-tests,decisionml,1
mobileacc,socbizcg,2
mobileacc,cnwa,5
mobileacc,cdl,1
mobileacc,native-web-apps,3
mobileacc,webmidi,2
mobileacc,informationarchitecture,4
mobileacc,scriptlib,1
mobileacc,mws,2
mobileacc,svgopentype,2
mobileacc,speech-api,1
mobileacc,webobservatory,2
mobileacc,vxmlcg,2
mobileacc,webed,6
mobileacc,whatwg,2
mobileacc,owled,1
mobileacc,timed-text,1
mobileacc,infographics,8
mobileacc,pubsub,1
mobileacc,webhistory,4
mobileacc,webassembly,1
mobileacc,expath,1
mobileacc,emergency,2
mobileacc,respimg,9
mobileacc,rww,3
mobileacc,ppl,3
mobileacc,userix,3
mobileacc,fedid,1
mobileacc,webhaptics,1
mobileacc,coders4africa,4
mobileacc,decisionml,2
mathprotocol,web-nfc,1
mathprotocol,ppl,1
semnews,socbizcg,5
semnews,sport-schema,3
semnews,native-web-apps,2
semnews,webscreens,1
semnews,propertygraphs,3
semnews,scriptlib,1
semnews,bde-transport,1
semnews,activitypub,4
semnews,mws,1
semnews,mmarkup,1
semnews,webobservatory,2
semnews,webed,4
semnews,bde-societies,1
semnews,owled,1
semnews,bde-climate,1
semnews,pubsub,6
semnews,webhistory,1
semnews,emergency,2
semnews,bde-energy,1
semnews,rww,11
semnews,credentials,3
semnews,restonto,1
semnews,bde-food,1
semnews,schemaorg,7
semnews,webzakim,1
semnews,fedid,2
semnews,ssn-cg,3
semnews,texttracks,2
semnews,coders4africa,1
semnews,ontolex,5
semnews,decisionml,1
semnews,rdf-tests,2
schemed,socbizcg,2
schemed,sport-schema,3
schemed,bde-transport,1
schemed,activitypub,1
schemed,mws,1
schemed,webed,1
schemed,bde-societies,1
schemed,owled,1
schemed,bde-climate,1
schemed,pubsub,1
schemed,webhistory,1
schemed,web-nfc,1
schemed,emergency,2
schemed,bde-energy,1
schemed,respimg,1
schemed,rww,1
schemed,credentials,1
schemed,ppl,1
schemed,restonto,3
schemed,bde-food,1
schemed,schemaorg,10
schemed,webzakim,1
schemed,fedid,2
schemed,ssn-cg,1
schemed,decisionml,1
schemed,rdf-tests,2
schemed,mathprotocol,1
schemed,semnews,1
webdevdata,socbizcg,2
webdevdata,annoux,1
webdevdata,cdl,1
webdevdata,native-web-apps,2
webdevdata,webmidi,2
webdevdata,informationarchitecture,1
webdevdata,scriptlib,1
webdevdata,svgopentype,3
webdevdata,speech-api,2
webdevdata,webobservatory,1
webdevdata,vxmlcg,2
webdevdata,webed,2
webdevdata,whatwg,4
webdevdata,owled,1
webdevdata,timed-text,1
webdevdata,infographics,2
webdevdata,pubsub,2
webdevdata,webhistory,1
webdevdata,webassembly,2
webdevdata,expath,1
webdevdata,emergency,1
webdevdata,respimg,5
webdevdata,rww,2
webdevdata,ppl,3
webdevdata,userix,1
webdevdata,schemaorg,1
webdevdata,webhaptics,2
webdevdata,coders4africa,1
webdevdata,mobileacc,2
inbandtracks,native-web-apps,1
inbandtracks,webscreens,5
inbandtracks,propertygraphs,1
inbandtracks,autowebplatform,1
inbandtracks,whatwg,1
inbandtracks,timed-text,2
inbandtracks,webassembly,1
inbandtracks,respimg,2
inbandtracks,websignage,1
inbandtracks,texttracks,8
cssselfrags,cnwa,1
cssselfrags,cdl,2
cssselfrags,native-web-apps,1
cssselfrags,autowebplatform,1
cssselfrags,webmidi,1
cssselfrags,scriptlib,1
cssselfrags,svgopentype,2
cssselfrags,webobservatory,1
cssselfrags,vxmlcg,1
cssselfrags,webed,3
cssselfrags,whatwg,2
cssselfrags,timed-text,1
cssselfrags,infographics,2
cssselfrags,webhistory,2
cssselfrags,webassembly,1
cssselfrags,expath,1
cssselfrags,respimg,3
cssselfrags,rww,3
cssselfrags,ppl,1
cssselfrags,userix,1
cssselfrags,fedid,1
cssselfrags,coders4africa,1
cssselfrags,mobileacc,4
cssselfrags,webdevdata,2
cryptoledgers,socbizcg,1
cryptoledgers,pubsub,1
cryptoledgers,web-nfc,1
cryptoledgers,respimg,1
cryptoledgers,rww,4
cryptoledgers,credentials,3
cryptoledgers,schemaorg,1
cryptoledgers,fedid,2
cryptoledgers,rdf-tests,1
cryptoledgers,schemed,1
webapps-ui,autowebplatform,1
webapps-ui,informationarchitecture,1
webapps-ui,mws,1
webapps-ui,speech-api,1
webapps-ui,webobservatory,1
webapps-ui,webed,2
webapps-ui,respimg,2
webapps-ui,userix,1
webapps-ui,mobileacc,1
webapps-ui,cssselfrags,2
opened,socbizcg,3
opened,sport-schema,2
opened,webscreens,1
opened,webmidi,1
opened,informationarchitecture,1
opened,bde-transport,1
opened,activitypub,1
opened,mws,2
opened,webobservatory,1
opened,webed,3
opened,whatwg,1
opened,bde-societies,1
opened,owled,3
opened,infographics,1
opened,bde-climate,1
opened,pubsub,1
opened,webhistory,1
opened,webassembly,1
opened,emergency,2
opened,bde-energy,1
opened,respimg,1
opened,xdmdl,1
opened,rww,1
opened,credentials,3
opened,opendataspain,3
opened,restonto,1
opened,bde-food,1
opened,schemaorg,8
opened,webzakim,1
opened,fedid,3
opened,ssn-cg,1
opened,texttracks,1
opened,ontolex,2
opened,decisionml,1
opened,lom2ld,2
opened,rdf-tests,1
opened,semnews,4
opened,schemed,1
sentiment,propertygraphs,1
sentiment,ldql,1
sentiment,informationarchitecture,1
sentiment,mws,1
sentiment,owled,1
sentiment,webhistory,1
sentiment,xdmdl,1
sentiment,schemaorg,1
sentiment,browserobo,1
sentiment,ontolex,1
sentiment,decisionml,1
sentiment,rdf-tests,1
sentiment,semnews,1
sentiment,opened,1
webcryptoapi,socbizcg,3
webcryptoapi,sport-schema,1
webcryptoapi,native-web-apps,4
webcryptoapi,informationarchitecture,1
webcryptoapi,bde-transport,1
webcryptoapi,activitypub,3
webcryptoapi,mws,1
webcryptoapi,svgopentype,1
webcryptoapi,speech-api,1
webcryptoapi,vxmlcg,1
webcryptoapi,webed,2
webcryptoapi,whatwg,2
webcryptoapi,bde-societies,1
webcryptoapi,owled,1
webcryptoapi,bde-climate,1
webcryptoapi,pubsub,5
webcryptoapi,webhistory,1
webcryptoapi,emergency,2
webcryptoapi,bde-energy,1
webcryptoapi,respimg,2
webcryptoapi,rww,5
webcryptoapi,credentials,2
webcryptoapi,ppl,1
webcryptoapi,websignage,2
webcryptoapi,restonto,1
webcryptoapi,userix,2
webcryptoapi,bde-food,1
webcryptoapi,schemaorg,1
webcryptoapi,webzakim,2
webcryptoapi,fedid,2
webcryptoapi,webhaptics,1
webcryptoapi,ssn-cg,4
webcryptoapi,ontolex,1
webcryptoapi,decisionml,1
webcryptoapi,rdf-tests,1
webcryptoapi,mobileacc,1
webcryptoapi,semnews,3
webcryptoapi,schemed,2
webcryptoapi,webdevdata,1
webcryptoapi,cryptoledgers,2
webcryptoapi,opened,1
wot,socbizcg,5
wot,annoux,1
wot,mobindic,1
wot,sport-schema,2
wot,native-web-apps,2
wot,webscreens,11
wot,propertygraphs,2
wot,autowebplatform,12
wot,ldql,1
wot,informationarchitecture,3
wot,scriptlib,1
wot,bde-transport,1
wot,activitypub,1
wot,mws,3
wot,svgopentype,1
wot,speech-api,2
wot,webobservatory,2
wot,vxmlcg,1
wot,webed,3
wot,whatwg,3
wot,bde-societies,1
wot,owled,3
wot,infographics,2
wot,bde-climate,1
wot,pubsub,5
wot,webhistory,3
wot,webassembly,1
wot,web-nfc,5
wot,emergency,4
wot,bde-energy,1
wot,respimg,10
wot,xdmdl,1
wot,rww,6
wot,credentials,4
wot,ppl,1
wot,opendataspain,1
wot,websignage,10
wot,restonto,1
wot,userix,2
wot,bde-food,1
wot,schemaorg,9
wot,webzakim,4
wot,fedid,4
wot,webhaptics,1
wot,ssn-cg,11
wot,browserobo,2
wot,coders4africa,2
wot,ontolex,2
wot,decisionml,1
wot,rdf-tests,6
wot,mobileacc,5
wot,semnews,3
wot,schemed,2
wot,webdevdata,2
wot,inbandtracks,2
wot,cryptoledgers,2
wot,webapps-ui,1
wot,opened,2
wot,sentiment,1
wot,webcryptoapi,5
cndpubcg,socbizcg,1
cndpubcg,cnwa,3
cndpubcg,cdl,3
cndpubcg,webmidi,1
cndpubcg,mws,2
cndpubcg,svgopentype,1
cndpubcg,webobservatory,1
cndpubcg,vxmlcg,1
cndpubcg,webed,2
cndpubcg,timed-text,1
cndpubcg,infographics,1
cndpubcg,webassembly,1
cndpubcg,expath,1
cndpubcg,respimg,1
cndpubcg,rww,1
cndpubcg,ppl,1
cndpubcg,coders4africa,1
cndpubcg,decisionml,1
cndpubcg,mobileacc,2
cndpubcg,webdevdata,1
cndpubcg,cssselfrags,1
bigdata,socbizcg,2
bigdata,cdl,1
bigdata,native-web-apps,2
bigdata,webscreens,1
bigdata,propertygraphs,2
bigdata,autowebplatform,2
bigdata,webmidi,1
bigdata,informationarchitecture,4
bigdata,mws,3
bigdata,svgopentype,1
bigdata,mmarkup,1
bigdata,speech-api,2
bigdata,webobservatory,4
bigdata,vxmlcg,3
bigdata,webed,2
bigdata,whatwg,1
bigdata,owled,4
bigdata,timed-text,1
bigdata,infographics,3
bigdata,pubsub,2
bigdata,webhistory,2
bigdata,webassembly,1
bigdata,expath,1
bigdata,emergency,4
bigdata,respimg,1
bigdata,rww,5
bigdata,credentials,2
bigdata,ppl,2
bigdata,opendataspain,1
bigdata,websignage,1
bigdata,userix,2
bigdata,schemaorg,3
bigdata,ssn-cg,2
bigdata,coders4africa,2
bigdata,ontolex,4
bigdata,decisionml,3
bigdata,mobileacc,3
bigdata,semnews,4
bigdata,webdevdata,1
bigdata,cssselfrags,2
bigdata,webapps-ui,2
bigdata,opened,1
bigdata,sentiment,1
bigdata,webcryptoapi,1
bigdata,wot,5
bigdata,cndpubcg,1
argmntreprsnt,rww,2
sustyweb,socbizcg,2
sustyweb,cdl,1
sustyweb,sport-schema,1
sustyweb,native-web-apps,1
sustyweb,webmidi,1
sustyweb,informationarchitecture,4
sustyweb,bde-transport,1
sustyweb,activitypub,1
sustyweb,mws,2
sustyweb,svgopentype,2
sustyweb,speech-api,1
sustyweb,webobservatory,2
sustyweb,vxmlcg,2
sustyweb,webed,3
sustyweb,whatwg,2
sustyweb,bde-societies,1
sustyweb,owled,1
sustyweb,timed-text,1
sustyweb,infographics,1
sustyweb,bde-climate,1
sustyweb,pubsub,2
sustyweb,webhistory,2
sustyweb,webassembly,1
sustyweb,expath,1
sustyweb,emergency,3
sustyweb,bde-energy,1
sustyweb,respimg,2
sustyweb,rww,3
sustyweb,credentials,1
sustyweb,ppl,2
sustyweb,restonto,1
sustyweb,userix,1
sustyweb,bde-food,1
sustyweb,schemaorg,1
sustyweb,webzakim,1
sustyweb,fedid,1
sustyweb,webhaptics,1
sustyweb,ssn-cg,1
sustyweb,coders4africa,1
sustyweb,decisionml,1
sustyweb,rdf-tests,1
sustyweb,mobileacc,3
sustyweb,semnews,1
sustyweb,schemed,1
sustyweb,webdevdata,2
sustyweb,cssselfrags,1
sustyweb,opened,2
sustyweb,webcryptoapi,2
sustyweb,wot,3
sustyweb,cndpubcg,1
sustyweb,bigdata,1
locadd,socbizcg,4
locadd,annoux,1
locadd,sport-schema,1
locadd,native-web-apps,1
locadd,webscreens,1
locadd,informationarchitecture,2
locadd,bde-transport,2
locadd,activitypub,1
locadd,mws,2
locadd,svgopentype,1
locadd,speech-api,1
locadd,vxmlcg,1
locadd,webed,1
locadd,whatwg,1
locadd,bde-societies,2
locadd,owled,3
locadd,infographics,1
locadd,bde-climate,2
locadd,pubsub,3
locadd,webhistory,2
locadd,expath,1
locadd,web-nfc,1
locadd,emergency,7
locadd,bde-energy,2
locadd,respimg,1
locadd,rww,4
locadd,credentials,4
locadd,ppl,1
locadd,opendataspain,3
locadd,restonto,1
locadd,userix,1
locadd,bde-food,2
locadd,schemaorg,6
locadd,webzakim,1
locadd,fedid,5
locadd,webhaptics,1
locadd,ssn-cg,4
locadd,texttracks,2
locadd,ontolex,1
locadd,decisionml,2
locadd,rdf-tests,2
locadd,mobileacc,1
locadd,semnews,2
locadd,schemed,1
locadd,webdevdata,1
locadd,cryptoledgers,1
locadd,opened,5
locadd,sentiment,1
locadd,webcryptoapi,2
locadd,wot,4
locadd,bigdata,1
locadd,sustyweb,2
carto,socbizcg,2
carto,sport-schema,1
